addref,city,year,engine,mileage,body,make,fuel,transmission,price
7000056,Lahore,2004,1260,247500,MPV,Honda,Diesel,Manual,3895498
7000057,Lahore,2019,2060,55000,MPV,Honda,Petrol,Automatic,4436134
7000058,Lahore,1993,3160,199000,MPV,Honda,Diesel,Manual,1421301
7000059,Lahore,2022,1460,192000,MPV,Honda,Petrol,Manual,2000969
7000060,Lahore,2004,860,172000,MPV,Honda,Petrol,Automatic,3713016
7000061,Lahore,2006,1160,15000,MPV,Honda,Diesel,Manual,2863019
7000062,Lahore,1997,3460,225500,MPV,Honda,Diesel,Automatic,5312910
7000063,Lahore,2009,2160,43500,MPV,Honda,Petrol,Manual,2582902
7000064,Lahore,2019,1060,50000,MPV,Honda,Petrol,Manual,1451144
7000065,Lahore,2017,1260,130000,MPV,Honda,Petrol,Automatic,3384474
7000066,Lahore,2001,1060,88500,MPV,Honda,Petrol,Manual,2965081
7000067,Lahore,1995,2660,155000,MPV,Honda,Petrol,Manual,2749463
7000068,Lahore,2009,1560,119000,MPV,Honda,Petrol,Automatic,4240967
7000069,Lahore,1999,2760,135000,MPV,Honda,Petrol,Manual,1800213
7000070,Lahore,2011,760,208500,MPV,Honda,Petrol,Manual,3188750
7000071,Lahore,2015,2660,184000,MPV,Honda,Petrol,Manual,2671967
7000072,Lahore,2008,860,66500,MPV,Honda,Diesel,Manual,3438095
7000073,Lahore,2012,1360,178500,MPV,Honda,Petrol,Manual,3524092
7000074,Lahore,2012,2260,74500,MPV,Honda,Petrol,Manual,1200903
7000075,Lahore,2019,2460,27000,MPV,Honda,Petrol,Automatic,4332901
7000076,Lahore,1997,1160,227000,MPV,Honda,Diesel,Manual,3510866
7000077,Lahore,1995,2060,220500,MPV,Honda,Hybrid,Automatic,3684657
7000078,Lahore,2001,760,216000,MPV,Honda,Petrol,Manual,4226577
7000079,Lahore,1993,2260,117000,MPV,Honda,Petrol,Automatic,3496135
7000080,Lahore,1993,1760,43000,MPV,Honda,Petrol,Automatic,3770674
7000081,Lahore,2020,2060,60500,MPV,Honda,Hybrid,Manual,3566063
7000082,Lahore,2017,1660,126500,MPV,Honda,Petrol,Manual,3080348
7000083,Lahore,1999,2460,200500,MPV,Honda,Petrol,Manual,3236912
7000084,Lahore,2003,1760,129000,MPV,Honda,Petrol,Automatic,4530480
7000085,Lahore,1998,3260,152000,MPV,Honda,Petrol,Manual,3806230
7000086,Lahore,1999,760,4500,MPV,Honda,Petrol,Automatic,3276796
7000087,Lahore,2002,1560,175000,MPV,Honda,Diesel,Manual,3942141
7000088,Lahore,2022,2360,6500,MPV,Honda,Petrol,Manual,4109111
7000089,Lahore,2001,2460,23500,MPV,Honda,Diesel,Manual,4217847
7000090,Lahore,2006,2060,123500,MPV,Honda,Petrol,Manual,2397664
7000091,Lahore,2020,1560,244000,MPV,Honda,Diesel,Automatic,4313395
7000092,Lahore,1997,1360,55500,MPV,Honda,Petrol,Automatic,1303598
7000093,Lahore,1992,2760,217000,MPV,Honda,Petrol,Manual,4546865
7000094,Lahore,2012,760,88000,MPV,Honda,Diesel,Manual,2713520
7000095,Lahore,2011,3260,64500,MPV,Honda,Petrol,Manual,3776508
7000096,Lahore,2020,1260,74000,MPV,Honda,Petrol,Manual,1202736
7000097,Lahore,2005,2260,116000,MPV,Honda,Diesel,Automatic,3253967
7000098,Lahore,1993,2460,218500,MPV,Honda,Diesel,Manual,3506711
7000099,Lahore,2000,3260,205000,MPV,Honda,Petrol,Manual,3015833
7000100,Lahore,2015,3460,147500,MPV,Honda,Petrol,Manual,2063283
7000101,Lahore,2006,2960,1000,MPV,Honda,Petrol,Manual,3123103
7000102,Lahore,1992,1960,49500,MPV,Honda,Petrol,Manual,2489358
7000103,Lahore,2013,860,164500,MPV,Honda,Petrol,Manual,4717063
7000104,Lahore,1998,2860,226000,MPV,Honda,Petrol,Automatic,3056829
7000105,Lahore,2004,3360,190000,MPV,Honda,Petrol,Manual,2249018
7000106,Lahore,2012,1960,40000,MPV,Honda,Petrol,Manual,3590515
7000107,Lahore,2022,2660,145500,MPV,Honda,Petrol,Manual,1972632
7000108,Lahore,1995,1260,150000,MPV,Honda,Petrol,Automatic,2782261
7000109,Lahore,2001,860,173000,MPV,Honda,Diesel,Manual,1804970
7000110,Lahore,1994,2760,129000,MPV,Honda,Diesel,Automatic,3876565
7000111,Lahore,1994,1960,3500,MPV,Honda,Petrol,Manual,4003524
7000112,Lahore,2004,3160,154500,MPV,Honda,Petrol,Manual,2365061
7000113,Lahore,1995,2960,63000,MPV,Honda,Petrol,Automatic,2084534
7000114,Lahore,1999,1960,62500,MPV,Honda,Petrol,Automatic,1022635
7000115,Lahore,2018,1860,140000,MPV,Honda,Diesel,Automatic,2575873
7000116,Lahore,2013,2260,213500,MPV,Honda,Petrol,Manual,2320287
7000117,Lahore,2022,760,77500,MPV,Honda,Diesel,Automatic,1210326
7000118,Lahore,2017,1960,216000,MPV,Honda,Petrol,Automatic,2911592
7000119,Lahore,2013,1360,198500,MPV,Honda,Petrol,Manual,3604983
7000120,Lahore,2013,2960,142000,MPV,Honda,Diesel,Manual,3363141
7000121,Lahore,2009,1760,131000,MPV,Honda,Petrol,Automatic,3036223
7000122,Lahore,2007,3160,198500,MPV,Honda,Petrol,Manual,2940675
7000123,Lahore,1993,1060,235000,MPV,Honda,Hybrid,Manual,3553295
7000124,Lahore,2005,2660,171500,MPV,Honda,Petrol,Manual,2292281
7000125,Lahore,1998,1460,121500,MPV,Honda,Petrol,Manual,3249805
7000126,Lahore,2004,3260,246500,MPV,Honda,Petrol,Manual,1697271
7000127,Lahore,2014,1660,245500,MPV,Honda,Petrol,Manual,4835036
7000128,Lahore,1995,2360,21500,MPV,Honda,Petrol,Manual,3036468
7000129,Lahore,2018,660,195500,MPV,Honda,Petrol,Automatic,3090961
7000130,Lahore,1994,2560,16500,MPV,Honda,Diesel,Manual,4060060
7000131,Lahore,1994,2760,99000,MPV,Honda,Diesel,Manual,3743334
7000132,Lahore,1998,1660,115000,MPV,Honda,Hybrid,Manual,1817549
7000133,Lahore,2013,2460,130000,MPV,Honda,Petrol,Manual,2000342
7000134,Lahore,2000,1160,3500,MPV,Honda,Petrol,Automatic,2405476
7000135,Lahore,1996,660,85500,MPV,Honda,Petrol,Manual,2212924
7000136,Lahore,2014,1160,159000,MPV,Honda,Diesel,Manual,4809905
7000137,Lahore,2012,2760,227500,MPV,Honda,Petrol,Manual,3164898
7000138,Lahore,2021,1060,7500,MPV,Honda,Diesel,Manual,2887465
7000139,Lahore,1995,3260,103000,MPV,Honda,Diesel,Manual,5174368
7000140,Lahore,1992,2560,97000,MPV,Honda,Petrol,Manual,4063501
7000141,Lahore,2017,960,223000,MPV,Honda,Petrol,Automatic,3435785
7000142,Lahore,1997,2460,232500,MPV,Honda,Diesel,Manual,2663742
7000143,Lahore,2016,2760,150500,MPV,Honda,Diesel,Manual,1871238
7000144,Lahore,2019,3060,134500,MPV,Honda,Petrol,Automatic,2696688
7000145,Lahore,1992,3260,124500,MPV,Honda,Diesel,Manual,4269944
7000146,Lahore,2016,2960,58500,MPV,Honda,Petrol,Manual,5028403
7000147,Lahore,2016,2260,178500,MPV,Honda,Petrol,Manual,3885481
7000148,Lahore,2012,860,243500,MPV,Honda,Petrol,Automatic,2129108
7000149,Lahore,2008,1560,39000,MPV,Honda,Petrol,Manual,4017162
7000150,Lahore,1993,1760,179000,MPV,Honda,Diesel,Manual,4401520
7000151,Lahore,2018,1960,175500,MPV,Honda,Diesel,Manual,3122866
7000152,Lahore,1991,2760,194000,MPV,Honda,Hybrid,Manual,3125537
7000153,Lahore,2015,3460,92000,MPV,Honda,Petrol,Automatic,4070163
7000154,Lahore,2000,3460,185000,MPV,Honda,Petrol,Manual,3166348
7000155,Lahore,1994,1260,66000,MPV,Honda,Petrol,Manual,4504674
7000156,Lahore,2003,1760,95500,MPV,Honda,Diesel,Automatic,4623037
7000157,Lahore,2009,3060,190500,MPV,Honda,Diesel,Automatic,2506383
7000158,Lahore,2000,1360,180500,MPV,Honda,Petrol,Manual,3295427
7000159,Lahore,2013,2860,206000,MPV,Honda,Petrol,Automatic,3346796
7000160,Lahore,2020,2760,12000,MPV,Honda,Petrol,Manual,2953236
7000161,Lahore,2020,1260,166000,MPV,Honda,Petrol,Manual,2364453
7000162,Lahore,2011,1660,93500,MPV,Honda,Petrol,Manual,2088777
7000163,Lahore,2021,2960,19500,MPV,Honda,Petrol,Manual,3373354
7000164,Lahore,2000,2660,143000,MPV,Honda,Petrol,Automatic,3196919
7000165,Lahore,2008,2560,81000,MPV,Honda,Diesel,Manual,3097187
7000166,Lahore,1992,2860,236000,MPV,Honda,Petrol,Automatic,3266027
7000167,Lahore,1997,2360,132500,MPV,Honda,Petrol,Manual,4596684
7000168,Lahore,2010,1460,74000,MPV,Honda,Petrol,Automatic,3868188
7000169,Lahore,2022,1260,140500,MPV,Honda,Petrol,Manual,854959
7000170,Lahore,2002,2560,74500,MPV,Honda,Petrol,Automatic,4576884
7000171,Lahore,1996,3160,206500,MPV,Honda,Petrol,Manual,3757051
7000172,Lahore,1998,1160,187500,MPV,Honda,Petrol,Manual,4779865
7000173,Lahore,2017,2560,111500,MPV,Honda,Petrol,Manual,2016051
7000174,Lahore,2017,3460,173000,MPV,Honda,Petrol,Manual,2213804
7000175,Lahore,2022,1860,218500,MPV,Honda,Hybrid,Manual,1778013
7000176,Lahore,2009,2160,186000,MPV,Honda,Diesel,Manual,1714337
7000177,Lahore,2016,2460,220000,MPV,Honda,Hybrid,Automatic,3380329
7000178,Lahore,2013,3160,94000,MPV,Honda,Petrol,Manual,3405120
7000179,Lahore,1991,860,25000,MPV,Honda,Petrol,Manual,1673195
7000180,Lahore,2020,2160,82500,MPV,Honda,Petrol,Manual,1586864
7000181,Lahore,2001,1360,144500,MPV,Honda,Hybrid,Manual,2482929
7000182,Lahore,2009,3160,154000,MPV,Honda,Petrol,Manual,2939967
7000183,Lahore,2008,1560,145500,MPV,Honda,Diesel,Automatic,3682236
7000184,Lahore,1991,1260,118000,MPV,Honda,Petrol,Manual,1334373
7000185,Lahore,2003,1260,167000,MPV,Honda,Petrol,Automatic,3025402
7000186,Lahore,2011,1160,212500,MPV,Honda,Petrol,Manual,4280253
7000187,Lahore,1993,2560,188000,MPV,Honda,Petrol,Manual,5028010
7000188,Lahore,1993,760,237500,MPV,Honda,Petrol,Manual,1946174
7000189,Lahore,2004,1060,39000,MPV,Honda,Petrol,Automatic,2899153
7000190,Lahore,1998,3160,108500,MPV,Honda,Petrol,Manual,3709247
7000191,Lahore,2005,1260,63500,MPV,Honda,Petrol,Manual,4046317
7000192,Lahore,1995,660,146500,MPV,Honda,Petrol,Manual,2304895
7000193,Lahore,2005,1060,10000,MPV,Honda,Petrol,Automatic,3280762
7000194,Lahore,1995,1760,3000,MPV,Honda,Petrol,Manual,3616362
7000195,Lahore,2011,3260,24500,MPV,Honda,Petrol,Automatic,3777639
7000196,Lahore,2008,1660,137000,MPV,Honda,Petrol,Manual,2842565
7000197,Lahore,2006,2060,38500,MPV,Honda,Petrol,Automatic,1371529
7000198,Lahore,1993,960,149500,MPV,Honda,Petrol,Automatic,4504596
7000199,Lahore,2016,3360,229000,MPV,Honda,Petrol,Automatic,4217529
7000200,Lahore,1998,3360,116000,MPV,Honda,Petrol,Automatic,2504674
7000201,Lahore,2004,2960,141500,MPV,Honda,Petrol,Manual,3447915
7000202,Lahore,2015,2160,51500,MPV,Honda,Petrol,Automatic,4032217
7000203,Lahore,1997,2560,44500,MPV,Honda,Petrol,Manual,2776051
7000204,Lahore,2022,3460,103000,MPV,Honda,Diesel,Manual,1030239
7000205,Lahore,1999,3160,94000,MPV,Honda,Diesel,Manual,2784097
7000206,Lahore,1992,1360,171500,MPV,Honda,Petrol,Manual,2303593
7000207,Lahore,2006,2360,160500,MPV,Honda,Petrol,Manual,3545655
7000208,Lahore,2020,2960,199000,MPV,Honda,Petrol,Manual,3645936
7000209,Lahore,2017,2160,80500,MPV,Honda,Petrol,Automatic,2890458
7000210,Lahore,2012,2360,228500,MPV,Honda,Petrol,Manual,3327172
7000211,Lahore,2005,2160,178500,MPV,Honda,Diesel,Automatic,4797113
7000212,Lahore,1997,2660,43500,MPV,Honda,Petrol,Manual,3554432
7000213,Lahore,1996,1860,41500,MPV,Honda,Diesel,Automatic,2635074
7000214,Lahore,2014,2560,226500,MPV,Honda,Petrol,Manual,3141762
7000215,Lahore,2020,2260,160000,MPV,Honda,Petrol,Manual,1584873
7000216,Lahore,2012,1160,132000,MPV,Honda,Petrol,Manual,2837058
7000217,Lahore,1993,760,172000,MPV,Honda,Petrol,Manual,2118529
7000218,Lahore,2002,2260,175500,MPV,Honda,Petrol,Manual,3879905
7000219,Lahore,2009,3160,170500,MPV,Honda,Diesel,Manual,3834147
7000220,Lahore,1996,3160,61500,MPV,Honda,Diesel,Manual,2779566
7000221,Lahore,2011,760,236500,MPV,Honda,Petrol,Manual,2246940
7000222,Lahore,2007,2660,243000,MPV,Honda,Petrol,Automatic,3479797
7000223,Lahore,1992,3360,31000,MPV,Honda,Petrol,Manual,3284189
7000224,Lahore,1996,2660,62500,MPV,Honda,Petrol,Automatic,2346670
7000225,Lahore,2006,1260,68000,MPV,Honda,Petrol,Manual,3427736
7000226,Lahore,2012,3160,235500,MPV,Honda,Diesel,Manual,3164519
7000227,Lahore,2019,660,65500,MPV,Honda,Diesel,Manual,4843795
7000228,Lahore,2004,2260,209000,MPV,Honda,Petrol,Manual,3088078
7000229,Lahore,2010,3060,170000,MPV,Honda,Petrol,Automatic,3206811
7000230,Lahore,2016,1760,147500,MPV,Honda,Petrol,Manual,3329912
7000231,Lahore,1994,1660,65500,MPV,Honda,Diesel,Manual,2796526
7000232,Lahore,2022,1060,195000,MPV,Honda,Petrol,Automatic,3291760
7000233,Lahore,2008,2360,20500,MPV,Honda,Diesel,Manual,2660850
7000234,Lahore,2002,3060,87000,MPV,Honda,Petrol,Manual,2820654
7000235,Lahore,1995,2360,172000,MPV,Honda,Diesel,Manual,3027533
7000236,Lahore,2021,3060,158000,MPV,Honda,Petrol,Manual,3126902
7000237,Lahore,2011,3260,209000,MPV,Honda,Petrol,Manual,1950817
7000238,Lahore,2014,860,142000,MPV,Honda,Petrol,Manual,1626782
7000239,Lahore,2006,1160,249000,MPV,Honda,Hybrid,Automatic,2255975
7000240,Lahore,2000,2160,66500,MPV,Honda,Petrol,Manual,1683959
7000241,Lahore,2013,2460,167000,MPV,Honda,Petrol,Manual,3773146
7000242,Lahore,1991,1560,98000,MPV,Honda,Diesel,Manual,4258046
7000243,Lahore,2002,960,48000,MPV,Honda,Petrol,Manual,3972361
7000244,Lahore,2009,2560,213000,MPV,Honda,Petrol,Manual,3308451
7000245,Lahore,2008,1160,149000,MPV,Honda,Diesel,Manual,2663864
7000246,Lahore,2006,760,116000,MPV,Honda,Petrol,Manual,2705943
7000247,Lahore,2022,2160,185500,MPV,Honda,Diesel,Manual,3802520
7000248,Lahore,2006,3360,193000,MPV,Honda,Petrol,Manual,3911555
7000249,Lahore,2000,3360,245500,MPV,Honda,Petrol,Automatic,578914
7000250,Lahore,1993,1960,190000,MPV,Honda,Diesel,Manual,2089415
7000251,Lahore,2015,1960,249000,MPV,Honda,Diesel,Manual,2284113
7000252,Lahore,1996,1960,63500,MPV,Honda,Petrol,Manual,1802247
7000253,Lahore,2014,3460,120500,MPV,Honda,Hybrid,Automatic,1063053
7000254,Lahore,1997,1560,180000,MPV,Honda,Petrol,Automatic,2568819
7000255,Lahore,2019,1160,215000,MPV,Honda,Diesel,Automatic,3679396
7000256,Lahore,2011,3360,144500,MPV,Honda,Diesel,Manual,2744270
7000257,Lahore,2008,1760,11000,MPV,Honda,Petrol,Automatic,3698070
7000258,Lahore,1998,960,93000,MPV,Honda,Petrol,Automatic,1904428
7000259,Lahore,2002,2660,29000,MPV,Honda,Hybrid,Manual,4314259
7000260,Lahore,1995,2160,121000,MPV,Honda,Petrol,Manual,4691680
7000261,Lahore,2013,1160,88000,MPV,Honda,Diesel,Manual,5242162
7000262,Lahore,1995,3160,235500,MPV,Honda,Diesel,Automatic,4901043
7000263,Lahore,2022,3260,24000,MPV,Honda,Petrol,Manual,5176986
7000264,Lahore,2008,2660,191500,MPV,Honda,Petrol,Manual,3040112
7000265,Lahore,2015,1660,60500,MPV,Honda,Petrol,Automatic,2931818
7000266,Lahore,1993,2660,4000,MPV,Honda,Petrol,Manual,5275888
7000267,Lahore,1992,2660,242000,MPV,Honda,Petrol,Manual,3738691
7000268,Lahore,1992,1760,118500,MPV,Honda,Petrol,Manual,4059631
7000269,Lahore,2005,660,113500,MPV,Honda,Petrol,Manual,3825146
7000270,Lahore,1991,2060,160500,MPV,Honda,Diesel,Manual,2267255
7000271,Lahore,1996,1460,115000,MPV,Honda,Petrol,Manual,4303514
7000272,Lahore,2014,3460,72500,MPV,Honda,Petrol,Automatic,3610372
7000273,Lahore,1996,1260,49000,MPV,Honda,Diesel,Automatic,2518441
7000274,Lahore,2004,3060,171500,MPV,Honda,Diesel,Manual,3467333
7000275,Lahore,2017,3260,126500,MPV,Honda,Petrol,Manual,1349625
7000276,Lahore,2002,2960,12000,MPV,Honda,Diesel,Manual,3762642
7000277,Lahore,2001,1860,226500,MPV,Honda,Diesel,Manual,1642038
7000278,Lahore,1998,2360,60000,MPV,Honda,Petrol,Automatic,3024100
7000279,Lahore,2002,1160,31500,MPV,Honda,Petrol,Manual,1870834
7000280,Lahore,2020,1360,81000,MPV,Honda,Diesel,Manual,1819466
7000281,Lahore,2006,3260,239000,MPV,Honda,Diesel,Manual,2972326
7000282,Lahore,2004,2860,100500,MPV,Honda,Petrol,Manual,2050546
7000283,Lahore,2000,1760,124500,MPV,Honda,Diesel,Manual,2706780
7000284,Lahore,2008,2960,102500,MPV,Honda,Petrol,Automatic,2913889
7000285,Lahore,2022,2660,39000,MPV,Honda,Diesel,Manual,3876568
7000286,Lahore,1996,2060,117000,MPV,Honda,Petrol,Manual,3528079
7000287,Lahore,2017,2960,224000,MPV,Honda,Petrol,Automatic,1293263
7000288,Lahore,1996,2660,209000,MPV,Honda,Diesel,Manual,4557430
7000289,Lahore,2019,2860,8500,MPV,Honda,Petrol,Manual,1750631
7000290,Lahore,2021,960,204500,MPV,Honda,Petrol,Automatic,4582889
7000291,Lahore,1993,2560,32500,MPV,Honda,Petrol,Automatic,4239856
7000292,Lahore,2018,760,242500,MPV,Honda,Petrol,Automatic,2256340
7000293,Lahore,2022,2060,52500,MPV,Honda,Petrol,Automatic,3789734
7000294,Lahore,1993,2460,149500,MPV,Honda,Petrol,Manual,3526703
7000295,Lahore,2013,3460,191000,MPV,Honda,Petrol,Manual,3292712
7000296,Lahore,2015,2760,4000,MPV,Honda,Petrol,Manual,3766983
7000297,Lahore,2016,860,64500,MPV,Honda,Petrol,Manual,2975980
7000298,Lahore,1992,2360,149000,MPV,Honda,Diesel,Manual,4654201
7000299,Lahore,2007,3160,187500,MPV,Honda,Petrol,Manual,3394695
7000300,Lahore,2007,1660,179500,MPV,Honda,Petrol,Automatic,3098485
7000301,Lahore,2008,2060,28000,MPV,Honda,Petrol,Manual,3405093
7000302,Lahore,2013,2260,189500,MPV,Honda,Petrol,Manual,4292814
7000303,Lahore,2009,1160,207000,MPV,Honda,Petrol,Manual,3728388
7000304,Lahore,1994,3160,149500,MPV,Honda,Petrol,Manual,3015576
7000305,Lahore,2011,1960,144000,MPV,Honda,Hybrid,Manual,1334691
7000306,Lahore,1994,2160,10000,MPV,Honda,Petrol,Manual,4712628
7000307,Lahore,2017,1860,118500,MPV,Honda,Petrol,Manual,2298669
7000308,Lahore,2014,2460,144500,MPV,Honda,Petrol,Manual,1945652
7000309,Lahore,1991,2960,180500,MPV,Honda,Petrol,Manual,3160140
7000310,Lahore,1995,1160,60000,MPV,Honda,Petrol,Automatic,2045773
7000311,Lahore,2013,1360,247000,MPV,Honda,Petrol,Automatic,3220830
7000312,Lahore,2022,1260,109500,MPV,Honda,Petrol,Manual,1969389
7000313,Lahore,2005,1460,129000,MPV,Honda,Petrol,Manual,3822165
7000314,Lahore,2015,1960,181500,MPV,Honda,Petrol,Manual,1571787
7000315,Lahore,2019,2960,246000,MPV,Honda,Petrol,Manual,1008320
7000316,Lahore,1993,2360,29500,MPV,Honda,Petrol,Manual,1934821
7000317,Lahore,1991,3060,219500,MPV,Honda,Petrol,Automatic,1399105
7000318,Lahore,1992,1860,43000,MPV,Honda,Petrol,Automatic,2178502
7000319,Lahore,2015,1160,238500,MPV,Honda,Petrol,Automatic,4722750
7000320,Lahore,1997,2160,182500,MPV,Honda,Petrol,Manual,4241492
7000321,Lahore,2009,960,120500,MPV,Honda,Diesel,Automatic,4463709
7000322,Lahore,1993,960,134000,MPV,Honda,Petrol,Manual,3295123
7000323,Lahore,1998,3360,29000,MPV,Honda,Petrol,Automatic,5548007
7000324,Lahore,2003,660,133500,MPV,Honda,Diesel,Automatic,3231895
7000325,Lahore,2013,3060,118500,MPV,Honda,Petrol,Automatic,4101556
7000326,Lahore,2015,3160,157500,MPV,Honda,Petrol,Manual,2569094
7000327,Lahore,2017,1460,104000,MPV,Honda,Petrol,Manual,3981617
7000328,Lahore,2007,1560,167500,MPV,Honda,Hybrid,Manual,4197896
7000329,Lahore,2003,3160,139500,MPV,Honda,Petrol,Automatic,2752346
7000330,Lahore,1998,660,41500,MPV,Honda,Petrol,Manual,3888365
7000331,Lahore,2001,1760,153500,MPV,Honda,Petrol,Manual,3436494
7000332,Lahore,1997,1360,85000,MPV,Honda,Petrol,Manual,2537431
7000333,Lahore,2011,860,151000,MPV,Honda,Diesel,Automatic,2929320
7000334,Lahore,2022,2960,138500,MPV,Honda,Petrol,Automatic,3175235
7000335,Lahore,2015,3460,20500,MPV,Honda,Petrol,Automatic,2934642
7000336,Lahore,2008,2160,163000,MPV,Honda,Diesel,Manual,3632680
7000337,Lahore,1995,2460,234000,MPV,Honda,Petrol,Automatic,3585278
7000338,Lahore,1992,1260,58500,MPV,Honda,Petrol,Manual,3861069
7000339,Lahore,1995,1060,131500,MPV,Honda,Diesel,Automatic,3826380
7000340,Lahore,2016,760,188000,MPV,Honda,Petrol,Automatic,2771201
7000341,Lahore,2022,2060,215000,MPV,Honda,Petrol,Automatic,3823104
7000342,Lahore,2003,1660,75500,MPV,Honda,Petrol,Manual,2234591
7000343,Lahore,1996,1860,21500,MPV,Honda,Petrol,Manual,4356217
7000344,Lahore,2003,3460,12500,MPV,Honda,Petrol,Manual,3086074
7000345,Lahore,2017,2260,86500,MPV,Honda,Diesel,Manual,4056825
7000346,Lahore,1995,1160,94500,MPV,Honda,Hybrid,Manual,3462625
7000347,Lahore,2013,1560,83500,MPV,Honda,Petrol,Automatic,3948549
7000348,Lahore,2009,3360,169000,MPV,Honda,Petrol,Manual,2285953
7000349,Lahore,2019,760,128000,MPV,Honda,Diesel,Manual,3279932
7000350,Lahore,1994,2660,68500,MPV,Honda,Petrol,Manual,2532107
7000351,Lahore,2007,760,167000,MPV,Honda,Petrol,Manual,2302627
7000352,Lahore,2007,1860,222500,MPV,Honda,Petrol,Automatic,4210157
7000353,Lahore,2013,1760,134000,MPV,Honda,Petrol,Manual,3266966
7000354,Lahore,2003,3360,99000,MPV,Honda,Petrol,Manual,2393952
7000355,Lahore,2008,2660,144000,MPV,Honda,Petrol,Manual,3291810
